2025-12-13T20:34:26.573864600+00:00,COMPUTE_AUTO,NN_TRAIN_29,Model: oracle-bridge-nn-v29
2025-12-13T20:34:27.879545400+00:00,COMPUTE_AUTO,NN_TRAIN_29,Model: oracle-bridge-nn-v29
2025-12-13T20:34:46.927745700+00:00,COMPUTE_AUTO,NN_TRAIN_3,Model: oracle-bridge-nn-v3
2025-12-13T20:34:47.590144500+00:00,COMPUTE_AUTO,NN_TRAIN_3,Model: oracle-bridge-nn-v3
2025-12-13T20:35:04.610225200+00:00,COMPUTE_AUTO,NN_TRAIN_30,Model: oracle-bridge-nn-v30
2025-12-13T20:35:08.046994700+00:00,COMPUTE_AUTO,NN_TRAIN_30,Model: oracle-bridge-nn-v30
2025-12-13T20:35:24.560797400+00:00,COMPUTE_AUTO,NN_TRAIN_31,Model: oracle-bridge-nn-v31
2025-12-13T20:35:25.438856200+00:00,COMPUTE_AUTO,NN_TRAIN_31,Model: oracle-bridge-nn-v31
2025-12-13T20:35:43.779010100+00:00,COMPUTE_AUTO,NN_TRAIN_32,Model: oracle-bridge-nn-v32
2025-12-13T20:35:44.879947700+00:00,COMPUTE_AUTO,NN_TRAIN_32,Model: oracle-bridge-nn-v32
2025-12-13T20:36:03.079089400+00:00,COMPUTE_AUTO,NN_TRAIN_33,Model: oracle-bridge-nn-v33
2025-12-13T20:36:04.718123+00:00,COMPUTE_AUTO,NN_TRAIN_33,Model: oracle-bridge-nn-v33
2025-12-13T20:36:21.996054700+00:00,COMPUTE_AUTO,NN_TRAIN_100,Model: oracle-bridge-nn-v100
2025-12-13T20:36:23.250503900+00:00,COMPUTE_AUTO,NN_TRAIN_100,Model: oracle-bridge-nn-v100
2025-12-13T20:36:39.331637600+00:00,COMPUTE_AUTO,NN_TRAIN_34,Model: oracle-bridge-nn-v34
2025-12-13T20:36:40.705985700+00:00,COMPUTE_AUTO,NN_TRAIN_34,Model: oracle-bridge-nn-v34
2025-12-13T20:36:57.125635400+00:00,COMPUTE_AUTO,NN_TRAIN_35,Model: oracle-bridge-nn-v35
2025-12-13T20:37:00.864250500+00:00,COMPUTE_AUTO,NN_TRAIN_35,Model: oracle-bridge-nn-v35
2025-12-13T20:37:17.099948200+00:00,COMPUTE_AUTO,NN_TRAIN_36,Model: oracle-bridge-nn-v36
2025-12-13T20:37:20.202399800+00:00,COMPUTE_AUTO,NN_TRAIN_101,Model: oracle-bridge-nn-v101
2025-12-13T20:37:35.969712200+00:00,COMPUTE_AUTO,NN_TRAIN_101,Model: oracle-bridge-nn-v101
2025-12-13T20:37:39.116867500+00:00,COMPUTE_AUTO,NN_TRAIN_102,Model: oracle-bridge-nn-v102
2025-12-13T20:37:54.935727900+00:00,COMPUTE_AUTO,NN_TRAIN_102,Model: oracle-bridge-nn-v102
2025-12-13T20:37:58.780234600+00:00,COMPUTE_AUTO,NN_TRAIN_103,Model: oracle-bridge-nn-v103
2025-12-13T20:38:14.940497700+00:00,COMPUTE_AUTO,NN_TRAIN_103,Model: oracle-bridge-nn-v103
2025-12-13T20:38:18.701002300+00:00,COMPUTE_AUTO,NN_TRAIN_104,Model: oracle-bridge-nn-v104
2025-12-13T20:38:32.539914900+00:00,COMPUTE_AUTO,NN_TRAIN_104,Model: oracle-bridge-nn-v104
2025-12-13T20:38:38.668902200+00:00,COMPUTE_AUTO,NN_TRAIN_105,Model: oracle-bridge-nn-v105
2025-12-13T20:38:50.510230500+00:00,COMPUTE_AUTO,NN_TRAIN_105,Model: oracle-bridge-nn-v105
2025-12-13T20:38:58.741985900+00:00,COMPUTE_AUTO,NN_TRAIN_106,Model: oracle-bridge-nn-v106
2025-12-13T20:39:09.820091700+00:00,COMPUTE_AUTO,NN_TRAIN_106,Model: oracle-bridge-nn-v106
2025-12-13T20:39:17.943724200+00:00,COMPUTE_AUTO,NN_TRAIN_107,Model: oracle-bridge-nn-v107
2025-12-13T20:39:28.889573300+00:00,COMPUTE_AUTO,NN_TRAIN_107,Model: oracle-bridge-nn-v107
2025-12-13T20:39:36.871054300+00:00,COMPUTE_AUTO,NN_TRAIN_108,Model: oracle-bridge-nn-v108
2025-12-13T20:39:48.127586500+00:00,COMPUTE_AUTO,NN_TRAIN_108,Model: oracle-bridge-nn-v108
2025-12-13T20:39:56.346549+00:00,COMPUTE_AUTO,NN_TRAIN_109,Model: oracle-bridge-nn-v109
2025-12-13T20:40:08.413320700+00:00,COMPUTE_AUTO,NN_TRAIN_109,Model: oracle-bridge-nn-v109
2025-12-13T20:40:14.883277800+00:00,COMPUTE_AUTO,NN_TRAIN_110,Model: oracle-bridge-nn-v110
2025-12-13T20:40:25.588218900+00:00,COMPUTE_AUTO,NN_TRAIN_110,Model: oracle-bridge-nn-v110
2025-12-13T20:40:32.201900400+00:00,COMPUTE_AUTO,NN_TRAIN_111,Model: oracle-bridge-nn-v111
2025-12-13T20:40:43.350845500+00:00,COMPUTE_AUTO,NN_TRAIN_111,Model: oracle-bridge-nn-v111
2025-12-13T20:40:49.484917600+00:00,COMPUTE_AUTO,NN_TRAIN_112,Model: oracle-bridge-nn-v112
2025-12-13T20:41:03.291867400+00:00,COMPUTE_AUTO,NN_TRAIN_112,Model: oracle-bridge-nn-v112
2025-12-13T20:41:08.561639800+00:00,COMPUTE_AUTO,NN_TRAIN_113,Model: oracle-bridge-nn-v113
2025-12-13T20:41:22.509817700+00:00,COMPUTE_AUTO,NN_TRAIN_113,Model: oracle-bridge-nn-v113
2025-12-13T20:41:27.493499500+00:00,COMPUTE_AUTO,NN_TRAIN_114,Model: oracle-bridge-nn-v114
2025-12-13T20:41:41.433109+00:00,COMPUTE_AUTO,NN_TRAIN_114,Model: oracle-bridge-nn-v114
2025-12-13T20:41:46.495311100+00:00,COMPUTE_AUTO,NN_TRAIN_115,Model: oracle-bridge-nn-v115
2025-12-13T20:42:01.100367200+00:00,COMPUTE_AUTO,NN_TRAIN_115,Model: oracle-bridge-nn-v115
2025-12-13T20:42:03.576856600+00:00,COMPUTE_AUTO,NN_TRAIN_116,Model: oracle-bridge-nn-v116
2025-12-13T20:42:18.698030800+00:00,COMPUTE_AUTO,NN_TRAIN_116,Model: oracle-bridge-nn-v116
2025-12-13T20:42:22.333740700+00:00,COMPUTE_AUTO,NN_TRAIN_117,Model: oracle-bridge-nn-v117
2025-12-13T20:42:38.707093500+00:00,COMPUTE_AUTO,NN_TRAIN_117,Model: oracle-bridge-nn-v117
2025-12-13T20:42:42.167283100+00:00,COMPUTE_AUTO,NN_TRAIN_118,Model: oracle-bridge-nn-v118
2025-12-13T20:42:58.836850200+00:00,COMPUTE_AUTO,NN_TRAIN_118,Model: oracle-bridge-nn-v118
2025-12-13T20:43:01.993624200+00:00,COMPUTE_AUTO,NN_TRAIN_119,Model: oracle-bridge-nn-v119
2025-12-13T20:43:17.940339100+00:00,COMPUTE_AUTO,NN_TRAIN_119,Model: oracle-bridge-nn-v119
2025-12-13T20:43:21.103011900+00:00,COMPUTE_AUTO,NN_TRAIN_120,Model: oracle-bridge-nn-v120
2025-12-13T20:43:37.284043+00:00,COMPUTE_AUTO,NN_TRAIN_120,Model: oracle-bridge-nn-v120
2025-12-13T20:43:41.437866100+00:00,COMPUTE_AUTO,NN_TRAIN_121,Model: oracle-bridge-nn-v121
2025-12-13T20:43:54.519928800+00:00,COMPUTE_AUTO,NN_TRAIN_121,Model: oracle-bridge-nn-v121
2025-12-13T20:44:01.384437900+00:00,COMPUTE_AUTO,NN_TRAIN_122,Model: oracle-bridge-nn-v122
2025-12-13T20:44:14.734968+00:00,COMPUTE_AUTO,NN_TRAIN_122,Model: oracle-bridge-nn-v122
2025-12-13T20:44:21.341962600+00:00,COMPUTE_AUTO,NN_TRAIN_123,Model: oracle-bridge-nn-v123
2025-12-13T20:44:32.427926300+00:00,COMPUTE_AUTO,NN_TRAIN_123,Model: oracle-bridge-nn-v123
2025-12-13T20:44:41.102582900+00:00,COMPUTE_AUTO,NN_TRAIN_124,Model: oracle-bridge-nn-v124
2025-12-13T20:44:52.294497+00:00,COMPUTE_AUTO,NN_TRAIN_124,Model: oracle-bridge-nn-v124
2025-12-13T20:45:01.256498600+00:00,COMPUTE_AUTO,NN_TRAIN_125,Model: oracle-bridge-nn-v125
2025-12-13T20:45:11.960951100+00:00,COMPUTE_AUTO,NN_TRAIN_125,Model: oracle-bridge-nn-v125
2025-12-13T20:45:20.892703500+00:00,COMPUTE_AUTO,NN_TRAIN_126,Model: oracle-bridge-nn-v126
2025-12-13T20:45:31.389628+00:00,COMPUTE_AUTO,NN_TRAIN_126,Model: oracle-bridge-nn-v126
2025-12-13T20:45:38.060084700+00:00,COMPUTE_AUTO,NN_TRAIN_127,Model: oracle-bridge-nn-v127
2025-12-13T20:45:50.516597900+00:00,COMPUTE_AUTO,NN_TRAIN_127,Model: oracle-bridge-nn-v127
2025-12-13T20:45:57.482626600+00:00,COMPUTE_AUTO,NN_TRAIN_128,Model: oracle-bridge-nn-v128
2025-12-13T20:46:10.507764100+00:00,COMPUTE_AUTO,NN_TRAIN_128,Model: oracle-bridge-nn-v128
2025-12-13T20:46:17.661848100+00:00,COMPUTE_AUTO,NN_TRAIN_129,Model: oracle-bridge-nn-v129
2025-12-13T20:46:30.470660400+00:00,COMPUTE_AUTO,NN_TRAIN_129,Model: oracle-bridge-nn-v129
2025-12-13T20:46:37.714326800+00:00,COMPUTE_AUTO,NN_TRAIN_130,Model: oracle-bridge-nn-v130
2025-12-13T20:46:50.830953500+00:00,COMPUTE_AUTO,NN_TRAIN_130,Model: oracle-bridge-nn-v130
2025-12-13T20:46:57.858114300+00:00,COMPUTE_AUTO,NN_TRAIN_131,Model: oracle-bridge-nn-v131
2025-12-13T20:47:10.430861300+00:00,COMPUTE_AUTO,NN_TRAIN_131,Model: oracle-bridge-nn-v131
2025-12-13T20:47:17.267708500+00:00,COMPUTE_AUTO,NN_TRAIN_132,Model: oracle-bridge-nn-v132
2025-12-13T20:47:30.321182100+00:00,COMPUTE_AUTO,NN_TRAIN_132,Model: oracle-bridge-nn-v132
2025-12-13T20:47:36.767250600+00:00,COMPUTE_AUTO,NN_TRAIN_133,Model: oracle-bridge-nn-v133
2025-12-13T20:47:49.719421700+00:00,COMPUTE_AUTO,NN_TRAIN_133,Model: oracle-bridge-nn-v133
2025-12-13T20:47:56.257267800+00:00,COMPUTE_AUTO,NN_TRAIN_134,Model: oracle-bridge-nn-v134
2025-12-13T20:48:09.598244200+00:00,COMPUTE_AUTO,NN_TRAIN_134,Model: oracle-bridge-nn-v134
2025-12-13T20:48:16.099766200+00:00,COMPUTE_AUTO,NN_TRAIN_135,Model: oracle-bridge-nn-v135
2025-12-13T20:48:29.480458+00:00,COMPUTE_AUTO,NN_TRAIN_135,Model: oracle-bridge-nn-v135
2025-12-13T20:48:36.160224300+00:00,COMPUTE_AUTO,NN_TRAIN_136,Model: oracle-bridge-nn-v136
2025-12-13T20:48:49.554337400+00:00,COMPUTE_AUTO,NN_TRAIN_136,Model: oracle-bridge-nn-v136
2025-12-13T20:48:56.218262600+00:00,COMPUTE_AUTO,NN_TRAIN_137,Model: oracle-bridge-nn-v137
2025-12-13T20:49:06.673555100+00:00,COMPUTE_AUTO,NN_TRAIN_137,Model: oracle-bridge-nn-v137
2025-12-13T20:49:15.801517600+00:00,COMPUTE_AUTO,NN_TRAIN_138,Model: oracle-bridge-nn-v138
2025-12-13T20:49:26.149673500+00:00,COMPUTE_AUTO,NN_TRAIN_138,Model: oracle-bridge-nn-v138
2025-12-13T20:49:35.176655300+00:00,COMPUTE_AUTO,NN_TRAIN_139,Model: oracle-bridge-nn-v139
2025-12-13T20:49:45.233742600+00:00,COMPUTE_AUTO,NN_TRAIN_139,Model: oracle-bridge-nn-v139
2025-12-13T20:56:34.674695+00:00,COMPUTE_AUTO,NN_TRAIN_1,Model: oracle-bridge-nn-v1
2025-12-13T20:56:53.611930900+00:00,COMPUTE_AUTO,NN_TRAIN_10,Model: oracle-bridge-nn-v10
2025-12-13T20:57:12.758171800+00:00,COMPUTE_AUTO,NN_TRAIN_11,Model: oracle-bridge-nn-v11
2025-12-13T20:57:32.673917+00:00,COMPUTE_AUTO,NN_TRAIN_12,Model: oracle-bridge-nn-v12
2025-12-13T20:57:51.652900900+00:00,COMPUTE_AUTO,NN_TRAIN_13,Model: oracle-bridge-nn-v13
2025-12-13T20:57:52.085246200+00:00,COMPUTE_AUTO,NN_TRAIN_13,Model: oracle-bridge-nn-v13
2025-12-13T20:58:11.508669500+00:00,COMPUTE_AUTO,NN_TRAIN_14,Model: oracle-bridge-nn-v14
2025-12-13T20:58:11.703110400+00:00,COMPUTE_AUTO,NN_TRAIN_14,Model: oracle-bridge-nn-v14
2025-12-13T20:58:30.578478100+00:00,COMPUTE_AUTO,NN_TRAIN_140,Model: oracle-bridge-nn-v140
2025-12-13T20:58:30.579234300+00:00,COMPUTE_AUTO,NN_TRAIN_140,Model: oracle-bridge-nn-v140
2025-12-13T20:58:49.511863900+00:00,COMPUTE_AUTO,NN_TRAIN_141,Model: oracle-bridge-nn-v141
2025-12-13T20:58:49.513035600+00:00,COMPUTE_AUTO,NN_TRAIN_141,Model: oracle-bridge-nn-v141
2025-12-13T20:59:09.064903200+00:00,COMPUTE_AUTO,NN_TRAIN_142,Model: oracle-bridge-nn-v142
2025-12-13T20:59:09.688287600+00:00,COMPUTE_AUTO,NN_TRAIN_142,Model: oracle-bridge-nn-v142
2025-12-13T20:59:26.411719500+00:00,COMPUTE_AUTO,NN_TRAIN_143,Model: oracle-bridge-nn-v143
2025-12-13T20:59:29.994500900+00:00,COMPUTE_AUTO,NN_TRAIN_143,Model: oracle-bridge-nn-v143
2025-12-13T20:59:44.470959300+00:00,COMPUTE_AUTO,NN_TRAIN_144,Model: oracle-bridge-nn-v144
2025-12-13T20:59:47.310995300+00:00,COMPUTE_AUTO,NN_TRAIN_144,Model: oracle-bridge-nn-v144
2025-12-13T21:00:01.554792600+00:00,COMPUTE_AUTO,NN_TRAIN_145,Model: oracle-bridge-nn-v145
2025-12-13T21:00:07.525425500+00:00,COMPUTE_AUTO,NN_TRAIN_145,Model: oracle-bridge-nn-v145
2025-12-13T21:00:20.985438100+00:00,COMPUTE_AUTO,NN_TRAIN_146,Model: oracle-bridge-nn-v146
2025-12-13T21:00:26.754125500+00:00,COMPUTE_AUTO,NN_TRAIN_146,Model: oracle-bridge-nn-v146
2025-12-13T21:00:40.019815300+00:00,COMPUTE_AUTO,NN_TRAIN_147,Model: oracle-bridge-nn-v147
2025-12-13T21:00:45.814044200+00:00,COMPUTE_AUTO,NN_TRAIN_147,Model: oracle-bridge-nn-v147
2025-12-13T21:00:59.317809800+00:00,COMPUTE_AUTO,NN_TRAIN_148,Model: oracle-bridge-nn-v148
2025-12-13T21:01:05.919296500+00:00,COMPUTE_AUTO,NN_TRAIN_148,Model: oracle-bridge-nn-v148
2025-12-13T21:01:19.424073500+00:00,COMPUTE_AUTO,NN_TRAIN_149,Model: oracle-bridge-nn-v149
